"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","11285","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","11299","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","12133","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","49090","","","instructions","3","2.1.0","61224","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","[{""page_index"":0,""viewing_time"":6225},{""page_index"":1,""viewing_time"":5712},{""page_index"":2,""viewing_time"":10905},{""page_index"":3,""viewing_time"":9228},{""page_index"":4,""viewing_time"":17020}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","5747","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","112889","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","117748","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","8216","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","11","2.1.0","125967","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"practice_complete","3761","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","129729","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_38T_audio.webm","null","audio-keyboard-response","13","2.1.1","133568","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","38","38T","38","Audio item 38","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_38T_audio.webm","","","","","","",""
"truth_judgment","43520","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","14","2.1.0","177089","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","38","38T","38","Audio item 38","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_38T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_18F_audio.webm","null","audio-keyboard-response","15","2.1.1","181120","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","18","18F","18","Audio item 18","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_18F_audio.webm","","","","","","",""
"truth_judgment","10628","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","16","2.1.0","191749","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","18","18F","18","Audio item 18","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_18F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F6F_audio.webm","null","audio-keyboard-response","17","2.1.1","197150","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","","","","","","",""
"truth_judgment","5659","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","18","2.1.0","202811","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","7","0","0","0","14","definitely false","definitely true"
